id,IATA,en-GB,latitude,longitude,vibes,city,country
129054483,ADC,Andakombe,-7.133333,145.733333,,Eastern Highlands,Papua New Guinea
128668203,ADD,Addis Ababa,8.977778,38.798056,"{""nightlife_and_entertainment"":""1"",""underrated_destinations"":""0"",""beach"":""0"",""art_and_culture"":""0"",""great_food"":""1"",""outdoor_adventures"":""1""}",Addis Ababa,Ethiopia
95673713,ADE,Aden,12.827778,45.030556,,Aden City,Yemen
128668313,ADF,Adiyaman,37.731369,38.468936,,Kâhta,Turkey
129055246,ADG,Adrian,41.86921,-84.07467,,Michigan,United States
129055890,ADH,Aldan,58.6,125.4,,Aldan,Russia
129053026,ADI,Arandis,-22.4,15.0,,Erongo Region,Namibia
129051955,ADJ,Amman Civil - Marka,31.95,35.983333,"{""nightlife_and_entertainment"":""1"",""underrated_destinations"":""0"",""beach"":""0"",""art_and_culture"":""1"",""great_food"":""1"",""outdoor_adventures"":""0""}",Amman,Jordan
128668204,ADK,Adak Island,51.882778,-176.644722,,Adak,United States
104120231,ADL,Adelaide,-34.948333,138.534722,"{""nightlife_and_entertainment"":""0"",""underrated_destinations"":""1"",""beach"":""0"",""art_and_culture"":""0"",""great_food"":""1"",""outdoor_adventures"":""0""}",Adelaide,Australia
129056447,ADM,Ardmore Municipal Arpt,34.303056,-97.019444,,Ardmore,United States
129052412,ADN,Andes,5.666667,-75.933333,,Antioquia,Colombia
129054811,ADO,Andamooka,-31.016667,137.15,,Oak Dam Village,Australia
136218710,ADP,Gal Oya,7.336944,81.630278,,Uhana,Sri Lanka
128668048,ADQ,Kodiak,57.754167,-152.483333,,Alaska,United States
129057723,ADR,Andrews,33.45,-79.566667,,South Carolina,United States
129057411,ADT,Ada,34.8,-96.666667,,Ada,United States
128668205,ADU,Ardabil,38.25,48.3,,Ardabil,Iran
129055880,ADV,Andover,51.216667,-1.466667,,Test Valley,United Kingdom
129053431,ADW,Camp Springs Andrews AFB,38.816667,-76.866667,,Camp Springs,United States
129056814,ADY,Alldays,-22.666667,29.05,,Limpopo,South Africa
128668187,ADZ,San Andres Island,12.583333,-81.7,"{""nightlife_and_entertainment"":""0"",""underrated_destinations"":""0"",""beach"":""1"",""art_and_culture"":""0"",""great_food"":""0"",""outdoor_adventures"":""0""}",San Andrés,Colombia
129054482,AEA,Abemama,0.483333,173.85,,Abemama,Kiribati
128668206,AEB,Baise,23.7172,106.9506,,Tianyang District,China
