id,IATA,en-GB,latitude,longitude,vibes,country
129057069,MFW,Magaruque,-21.972222,35.591667,,Mozambique
129052879,MFX,Meribel,45.416667,6.566667,,France
129056973,MFY,Mayfa'ah,13.666667,46.008333,,Yemen
129054365,MFZ,Mesalia,-6.133333,149.116667,,Papua New Guinea
95673543,MGA,Managua,12.141111,-86.168611,"{""nightlife_and_entertainment"":""1"",""underrated_destinations"":""0"",""beach"":""0"",""art_and_culture"":""1"",""great_food"":""0"",""outdoor_adventures"":""0""}",Nicaragua
128668830,MGB,Mount Gambier,-37.754167,140.780556,,Australia
129055117,MGC,Michigan City,41.704319,-86.82375,,United States
129053580,MGD,Magdalena,-13.325278,-64.124722,,Bolivia
129056214,MGE,Marietta Dobbins AFB,33.916667,-84.516667,,United States
95673762,MGF,Regional De Maringa,-23.383611,-51.933333,,Brazil
129054519,MGG,Margarima,-6.033333,143.366667,,Papua New Guinea
129055580,MGH,Margate,-30.85741,30.34302,"{""nightlife_and_entertainment"":""0"",""underrated_destinations"":""0"",""beach"":""1"",""art_and_culture"":""0"",""great_food"":""0"",""outdoor_adventures"":""0""}",South Africa
